	DrugBank_ID	DrugBank_Name	Indication	Targets	Proximity	Normalized_Enrichment_Score	FDR
0	DB09330	Osimertinib	Osimertinib is indicated for the treatment of patients with metastatic epidermal growth factor receptor (EGFR) T790M mutation-positive non-small cell lung cancer (NSCLC), as detected by an FDA- approved test, who have progressed on or after EGFR-TKI therapy.	EGFR	-4.800010619554567	2.5962326593341234	<0.0001
1	DB11963	Dacomitinib	"Dacomitinib is indicated as the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) with epidermal growth factor receptor (EGFR) exon 19 deletion or exon 21 L858R substitution mutations as verified by an FDA-approved test.[L4812]

Lung cancer is the leading cause of cancer death and NSCLC accounts for 85% of lung cancer cases. From the cases of NSCLC, approximately 75% of the patients present a late diagnosis with metastatic and advanced disease which produces a survival rate of 5%. The presence of a mutation in EGFR accounts for more than the 60% of the NSCLC cases and the overexpression of EGFR is associated with frequent lymph node metastasis and poor chemosensitivity.[A40018, A19201]"	EGFR	-4.800010619554567	-1.8521544983910947	<0.0001
2	DB11828	Neratinib	For use as an extended adjuvant treatment in adult patients with early stage HER2-overexpressed/amplified breast cancer, to follow adjuvant trastuzumab-based therapy [FDA Label].	EGFR	-4.800010619554567	1.5981170010904406	<0.0001
3	DB00317	Gefitinib	For the continued treatment of patients with locally advanced or metastatic non-small cell lung cancer after failure of either platinum-based or docetaxel chemotherapies.	EGFR	-4.800010619554567	1.4394913128945683	<0.0001
4	DB05424	Canertinib	Investigated for use/treatment in breast cancer and lung cancer.	EGFR	-4.800010619554567	-1.3942729205527633	<0.0001
5	DB12442	Alvespimycin	Investigated for use as an antineoplastic agent for solid tumors, advanced solid tumours or acute myeloid leukaemia. 	HSP90AA1	-4.531018897898992	-1.4080910443360235	<0.0001
6	DB00663	Flumethasone	For the treatment of contact dermatitis, atopic dermatitis, exczema, psoriasis, diaper rash and other skin conditions	NR3C1	-4.492761677488823	1.7962970255499313	<0.0001
7	DB00896	Rimexolone	For the treatment of postoperative inflammation following ocular surgery and in the treatment of anterior uveitis.	NR3C1	-4.492761677488823	-1.62054944368417	<0.0001
8	DB00394	Beclomethasone dipropionate	"Indicated for oral inhalation use in the maintenance treatment of asthma as prophylactic therapy in patients 5 years of age and older. The aerosol form of beclomethasone diproprionate is not indicated for the relief of acute bronchospasm.[L6871]

Indicated for intranasal use to relieve the symptoms of seasonal or perennial allergic and nonallergic (vasomotor) rhinitis and prevent the recurrence of nasal polyps following surgical removal.[L6880]

Indicated for the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses in patients 13 years of age and older.[L10782] Corticosteroid-responsive dermatoses include psoriasis, contact dermatitis (dermatitis venenata), atopic dermatitis (infantile eczema, allergic dermatitis), neurodermatitis (lichen simplex chronicus, lichen planus, eczema, eczematous dermatitis), intertrigo, dyshidroses (pompholyx), seborrheic dermatitis, exfoliative dermatitis, solar dermatitis, stasis dermatitis, and anogenital and senile pruritus.[L6886]"	NR3C1	-4.492761677488823	1.61797598368187	<0.0001
9	DB00547	Desoximetasone	For the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.	NR3C1	-4.492761677488823	-1.569680128691145	<0.0001
